ID,"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded Date","Precuration Date","Disease entity assigned Date","Precuration Complete Date","Curation Provisional Date","Curation Approved Date","Recuration assigned Date","Retired Assignment Date","Published Date",Classification,Created,"GCI UUID"
1759,CBS,"Aminoacidopathy GCEP",,MONDO:0009352,,,,,2020-05-22,2019-04-16,,,2020-05-22,Definitive,"2018-11-05 10:22:10",7a81d1c5-0224-4797-bd81-1bb4ce9d7c83
1734,CPS1,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009376,,,,,2020-05-22,2018-10-12,,,2020-05-22,Definitive,"2018-11-05 10:22:08",ed1f0deb-24be-4949-b616-37ad468a2610
1760,CTH,"Aminoacidopathy GCEP","May Flowers",MONDO:0009058,,,,,2019-05-03,2019-06-14,,,2020-04-06,Definitive,"2018-11-05 10:22:10",722ee6e4-f5a7-4dd5-baf0-3ebf8fcb68ac
1731,DBT,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009563,,,,,,2018-10-30,,,2020-04-06,Definitive,"2018-11-05 10:22:08",6996804b-6864-40e6-a88d-8a5800e91881
1780,DHTKD1,"Aminoacidopathy GCEP","May Flowers",MONDO:0008774,2020-04-06,,,2020-01-24,2020-04-24,2020-11-03,,,2020-11-03,Definitive,"2018-11-05 10:22:11",93157673-49c6-44ed-9241-d44deff6b1b9
1737,DLD,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0009529,,,,,2018-11-13,2019-03-08,,,2020-04-06,Definitive,"2018-11-05 10:22:08",9c847c7e-0873-47d7-9e41-59e90487f69a
1768,DMGDH,"Aminoacidopathy GCEP","May Flowers",MONDO:0011610,,,,,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:11",f873561e-223a-40aa-97b4-0d682112f585
4093,DNAJC12,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0044304,2020-06-22,,,2020-09-24,2020-09-28,2021-01-11,,,2021-01-11,Definitive,"2020-06-22 15:14:30",74cd6977-6afb-4279-8e2b-1d3239d31ab2
1748,FAH,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0010161,,,,,2020-04-23,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:09",7b41c3fc-d4ab-4da7-9892-4b61aee22941
4091,FMO3,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0011182,2020-06-22,,2020-07-22,2020-07-22,2020-07-27,2020-08-14,,,2020-08-14,Definitive,"2020-06-22 15:12:25",602d606e-35a7-4743-afd1-65424c871e0d
4111,GAD1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0016021,2020-06-22,,,2020-10-09,2020-10-30,2021-05-13,,,2021-05-13,Definitive,"2020-06-22 15:27:17",5fea0e93-7b81-4b99-aa56-7e95f2de0222
2063,GAMT,"Aminoacidopathy GCEP",,MONDO:0012999,2019-01-11,,,,2020-05-22,2019-01-25,,,2020-05-22,Definitive,"2019-01-11 13:50:16",5678d8d5-f019-493f-8fc1-72767f42abbd
2064,GATM,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0012996,2019-01-11,,,,2020-05-22,2019-03-08,,,2020-05-22,Definitive,"2019-01-11 13:51:35",19e0c046-9e92-4dd7-80bc-c0335da66f9b
5822,GATM,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
4096,GATM,"Aminoacidopathy GCEP",,,2020-06-22,,,,,,,,,,"2020-06-22 15:16:34",
1781,GCDH,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009281,,,,,2020-05-08,2019-11-08,,,2020-05-22,Definitive,"2018-11-05 10:22:12",0b10fd74-2faa-4fe2-830f-feff5e12a16a
1724,GCH1,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009314,,,,,,2018-07-16,,,,,"2018-11-05 10:22:07",
1394,GCSH,"Aminoacidopathy GCEP","Jenny Goldstein",FREETEXT:95f0680d-bcb6-472c-82a0-510d67e6f7d8,,,,,,2018-04-27,,,,Disputed,"2018-10-18 13:16:49",93ff1dd6-b436-4e2a-9e7f-c54b5634e70f
5817,GCSH,"Aminoacidopathy GCEP","Jen McGlaughon",,,,,,,,,,,,"2021-09-15 12:10:31",
5101,GK,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0010613,2020-12-08,,,,2020-12-08,,,2022-01-18,,Definitive,"2020-12-09 11:00:12",
5818,GLDC,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
1771,GLDC,"Aminoacidopathy GCEP",,MONDO:0011612,,,,,2020-05-22,2019-02-06,,,2020-05-22,Definitive,"2018-11-05 10:22:11",c53939c7-a280-4491-975c-e93664291bdd
5598,GLS,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0032685,2021-06-09,,,,2021-06-09,2021-07-09,,,2021-07-09,Limited,"2021-06-09 10:03:04",4105a2a2-5ae2-4eba-88d7-3b99a49db3d4
4094,GLS,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0600001,2020-06-22,,,,2021-06-09,2021-07-09,,,2021-07-09,Definitive,"2020-06-22 15:14:49",18ac5f9c-2d2b-40bb-9f2b-159908ac8a50
4107,GLUD1,"Aminoacidopathy GCEP","May Flowers",,2020-06-22,,,2020-07-27,2020-07-31,,,,2021-05-12,,"2020-06-22 15:22:19",
1784,GLUL,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0012393,,,,,2022-10-11,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:12",4f709109-142f-4082-98c8-eafa3b036132
1784,GLUL,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0012393,,,,,2022-10-11,2022-12-12,,,2022-12-16,Moderate,"2018-11-05 10:22:12",4f709109-142f-4082-98c8-eafa3b036132
1767,GNMT,"Aminoacidopathy GCEP","May Flowers",MONDO:0011698,,,,,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:11",c3c1e317-b7b5-41d1-b23c-ed9f793bc38c
4108,GPT2,"Aminoacidopathy GCEP",,MONDO:0014567,2020-06-22,,,2021-09-02,2021-09-24,2021-10-05,,2021-11-01,2021-10-05,Definitive,"2020-06-22 15:23:23",
1761,GSS,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0017909,,2019-04-09,,,2020-05-22,2019-04-26,,,2020-05-22,Definitive,"2018-11-05 10:22:10",b2e6d86d-0770-485a-9760-70c372c24ce3
1747,GSTZ1,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0060527,,,,,2022-09-09,2022-09-09,,,2022-12-16,Moderate,"2018-11-05 10:22:09",46b327a6-7da0-4c6d-9bdc-6522fee4a9a0
4090,HAAO,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0060554,,,,2020-06-19,2022-06-24,2022-06-24,,,2022-06-24,Definitive,"2020-06-19 13:28:18",18721334-1d5a-414b-a23d-ebdb52cd0715
4104,HAL,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0009345,2020-06-22,,,2020-08-18,2023-10-24,2023-11-17,,,2023-12-08,Limited,"2020-06-22 15:20:55",ca1bbfdc-aeb5-4274-ad8f-f3d14732c990
1746,HGD,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0008753,,,,,2020-04-23,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:09",9c0b7bc5-2bdd-461a-8935-89ec786209d1
7308,HIBADH,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:26:02",
1757,HIBCH,"Aminoacidopathy GCEP","May Flowers",MONDO:0009603,,,,2019-07-21,,2019-10-10,,,2019-11-07,Definitive,"2018-11-05 10:22:10",f94d39eb-e6d5-4073-8fe6-ebd22a51c883
5303,HLCS,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009666,2021-02-26,,,,2021-02-19,2021-02-26,,,2021-02-26,Definitive,"2021-02-26 12:12:57",542bf17b-95de-45aa-b4b4-7b4433436aeb
1753,HMGCL,"Aminoacidopathy GCEP",,,2018-11-05,,,,,,,,,,"2018-11-05 10:22:09",
1745,HPD,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0010162,,,,,2020-05-29,2020-06-29,,,2020-06-29,Moderate,"2018-11-05 10:22:09",19f8752b-a47e-4fa6-b627-f63965104f3e
1745,HPD,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0010162,,,,,2020-05-29,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:09",19f8752b-a47e-4fa6-b627-f63965104f3e
4085,HPD,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0007700,,,,2020-05-28,2023-10-24,2023-11-17,,,2023-12-08,Limited,"2020-05-28 12:06:57",5d1bf2ab-172d-4ec3-8520-9a4680d5863d
1755,HSD17B10,"Aminoacidopathy GCEP",,,2018-11-05,,,,,,,,,,"2018-11-05 10:22:10",
7312,HYKK,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0017351,2022-10-14,2023-07-06,,,2023-07-14,2023-07-14,,,2023-07-14,"No Known Disease Relationship","2022-10-14 11:35:31",3663b904-8276-4581-8072-43521bdcbb6d
1750,IVD,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0009475,,,,,2019-04-30,2019-05-10,,,2020-04-06,Definitive,"2018-11-05 10:22:09",22705936-e6b9-4f9c-a60a-0bf4aeea4ad3
7313,KMO,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:35:59",
4106,KYNU,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0060555,2020-06-22,,,,2022-10-14,2022-10-14,2022-08-01,,2022-10-17,Definitive,"2020-06-22 15:21:43",481d28ac-19e6-435d-bd46-3d0f593b48f0
1774,LMBRD1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0010183,2018-11-05,,,,2021-02-22,2021-03-26,,,2021-05-13,Definitive,"2018-11-05 10:22:11",7883fc1a-7aa4-4d79-9fbe-e65298d608fd
2295,MAT1A,"Aminoacidopathy GCEP",,MONDO:0009607,2019-07-23,,,2019-07-18,2020-05-08,2019-09-13,,,2020-05-22,Definitive,"2019-07-23 13:22:33",f9764cca-322e-4a51-ae9a-cde70c640f56
1751,MCCC1,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0018950,,,,2019-07-21,2019-08-13,2019-10-25,,,2019-11-07,Definitive,"2018-11-05 10:22:09",040e0b71-28e3-4be9-bb1a-a8e083b5598f
5823,MCCC1,"Aminoacidopathy GCEP","Jen McGlaughon",,,,,,,,,,,,"2021-09-15 12:32:53",
5824,MCCC2,"Aminoacidopathy GCEP","Jen McGlaughon",,,,,,,,,,,,"2021-09-15 12:32:53",
2617,MCCC2,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0018950,2019-09-18,,,,2019-09-18,2019-10-25,,,2019-11-07,Definitive,"2019-09-18 13:17:34",3d65b8cc-41ba-4777-9c10-6c92804bf767
4100,MCEE,"Aminoacidopathy GCEP","May Flowers",MONDO:0009615,2020-06-22,,,2020-06-25,2020-06-26,2020-07-09,,,2020-11-03,Definitive,"2020-06-22 15:18:26",162b5475-b699-4a14-b40e-976e4995a1e1
1741,MLYCD,"Aminoacidopathy GCEP","Jenny Goldstein",,2018-11-05,,,,,,,,,,"2018-11-05 10:22:09",
5274,MMAA,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009613,,,,,2022-07-13,2022-07-13,,,2022-07-13,"No Known Disease Relationship","2021-01-25 10:42:27",9ac9942a-8b18-4f63-8842-4d742d92a429
5275,MMAB,"Aminoacidopathy GCEP",,MONDO:0002012,,,,,2022-05-23,2022-05-23,,,2022-05-23,Definitive,"2021-01-25 10:44:46",8d13a187-716e-47ba-8954-986ea6c29279
2205,MMACHC,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0010184,,,,2019-03-26,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2019-03-26 09:43:18",28f9257d-fd49-4467-b2fe-88b38feb726c
5326,MMADHC,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0019220,,,,,2021-04-30,2021-05-12,,,2021-05-12,Definitive,"2021-04-08 18:19:22",beedee60-b4c6-4459-9c9d-8ef35bcad67d
1742,MMUT,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009612,,,2019-01-11,,2020-05-22,2019-05-09,,,2020-05-22,Definitive,"2018-11-05 10:22:09",a56c595b-b440-4bc5-943d-702ca8ffa025
7310,MPST,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:32:20",
1749,MTHFR,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0009353,,,,,2019-06-18,2019-07-19,,,2020-04-06,Definitive,"2018-11-05 10:22:09",27d5c1c8-6a79-4834-99ed-afcf11008912
5819,MTR,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
5820,MTRR,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
1735,NAGS,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009377,,,,,2020-05-22,2019-07-26,,,2020-05-22,Definitive,"2018-11-05 10:22:08",740778cb-d9ce-48e4-a1f7-a2307b9775fa
4883,NAT8L,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0013549,2020-10-01,,,2020-10-08,2020-10-23,2020-10-23,,,2020-10-23,Limited,"2020-10-01 12:39:31",b2620f9c-0161-4f68-9dbb-4cfd07f8a0f2
1776,OAT,"Aminoacidopathy GCEP",,MONDO:0009796,,,,,2020-05-22,2019-07-10,,,2020-05-22,Definitive,"2018-11-05 10:22:11",3405a7cc-37ba-41eb-b444-225adcffe89a
1733,OTC,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0010703,,,,,2018-09-07,2019-10-29,,,2019-10-29,Definitive,"2018-11-05 10:22:08",18f2d3ae-020d-4b16-a07e-3be1b5a95f2b
1726,PAH,"Aminoacidopathy GCEP","May Flowers",MONDO:0009861,,,,2019-01-11,2020-04-24,2020-04-24,,,2020-06-10,Definitive,"2018-11-05 10:22:07",f2cbcabc-f34c-4d0b-9f46-c2ecd4af1b51
1722,PCBD1,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009908,,,,,2021-07-27,2021-07-27,,,2021-07-27,Definitive,"2018-11-05 10:22:07",b829dbc8-97d2-4f0a-a70f-9297b8e902ed
2067,PCCA,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0011628,2019-01-11,,,,2020-05-22,2019-01-10,,,2020-05-22,Definitive,"2019-01-11 14:42:22",8fe3ff11-3958-4694-8aa1-9fa5008cb892
5813,PCCA,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
5814,PCCB,"Aminoacidopathy GCEP","Jenny Goldstein",,,,,,,,,,,,"2021-09-15 12:10:31",
2068,PCCB,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0011628,2019-01-11,,,,2020-05-22,2019-01-10,,,2020-05-22,Definitive,"2019-01-11 14:44:06",0a4c0d13-4c6c-4049-925a-6f55491643d7
7319,PCSK1,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:42:20",
1766,PHGDH,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0018162,,,2019-04-26,2019-05-07,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:10",ec13ca39-cecd-4659-8959-fcd8278e480b
4098,PHYKPL,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0014008,2020-06-22,,,2020-07-20,2023-10-25,2023-11-17,,,2023-12-08,Limited,"2020-06-22 15:17:32",fb8f85e5-acbb-44e3-b590-16d9f74df9a1
4099,PPM1K,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0014057,2020-06-22,,,2020-07-22,2023-10-25,2023-12-22,,,2023-12-22,Moderate,"2020-06-22 15:17:54",a61cecca-7077-49f8-b100-43ad48ba2554
1778,PRODH,"Aminoacidopathy GCEP",,MONDO:0009400,2020-04-06,,,2020-10-13,2021-04-28,2021-04-27,,,2021-04-28,Definitive,"2018-11-05 10:22:11",b330ccc4-d25d-4ff9-b414-c5276bd2381e
1777,PRODH2,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009374,,,,,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:11",f7e29cf7-d0f8-4884-9bc8-7d027cfecffc
1765,PSAT1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0018162,,,,2019-05-01,2020-06-29,2020-06-29,,,2020-06-29,Moderate,"2018-11-05 10:22:10",d0c3cebf-14f1-486a-b984-3a79da6ea83d
1765,PSAT1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0018162,,,,2019-05-01,2020-06-29,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:10",d0c3cebf-14f1-486a-b984-3a79da6ea83d
1764,PSPH,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0018162,,,,2019-04-10,2022-10-11,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:10",2e57707b-458d-4e8a-ac4a-d6d17b98b9e0
1764,PSPH,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0018162,,,,2019-04-10,2022-10-11,2022-12-12,,,2022-12-16,Moderate,"2018-11-05 10:22:10",2e57707b-458d-4e8a-ac4a-d6d17b98b9e0
1723,PTS,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009863,,,,,2020-05-22,,,,2020-05-22,Definitive,"2018-11-05 10:22:07",d581c6a1-e7e6-4efd-b1b9-0ab2f2379e39
1775,PYCR1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0013051,,,,,2020-04-23,2020-05-21,,,2020-05-28,Definitive,"2018-11-05 10:22:11",20c45959-4033-4a13-b003-f99e1a43a048
1725,QDPR,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009862,,,,,2020-05-06,2018-06-18,,,2020-05-22,Definitive,"2018-11-05 10:22:07",f7179fa6-65f6-4218-8aa7-db8ac96c1248
1769,SARDH,"Aminoacidopathy GCEP","May Flowers",MONDO:0010008,,,,,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:11",90e23ebc-91a8-46d4-ab05-2b8baa359455
7309,SELENBP1,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:29:46",
7311,SHMT2,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:33:00",
1787,SLC1A1,"Aminoacidopathy GCEP","May Flowers",MONDO:0009110,,,,2019-10-07,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:12",70e4ba69-460a-4d46-adac-c8ba04a3d67b
4110,SLC1A2,"Aminoacidopathy GCEP","May Flowers",MONDO:0014916,2020-06-22,,,2020-10-14,2020-10-26,2020-10-29,,,2020-11-03,Definitive,"2020-06-22 15:26:07",4aad1464-cc02-4b32-96f5-71e41f833987
4109,SLC1A3,"Aminoacidopathy GCEP","May Flowers",MONDO:0012982,2020-06-22,,,2020-08-12,2020-09-30,2020-10-09,,,2020-11-03,Definitive,"2020-06-22 15:25:09",5e1559a0-faba-4e85-8cf3-3f47378c6c92
4086,SLC1A4,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0014725,,,,2020-06-03,2021-06-29,2021-05-14,,,2021-06-29,Definitive,"2020-06-03 08:36:50",22877afb-cec2-43a3-b564-39fa032e0e56
4092,SLC25A13,"Aminoacidopathy GCEP",,,2020-06-22,,,,2020-09-10,,,,,,"2020-06-22 15:13:29",
1785,SLC25A15,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009393,,,,,2020-05-08,2020-02-28,,,2020-05-22,Definitive,"2018-11-05 10:22:12",046e84d9-d0de-4d19-8304-ffcf459b9e15
1788,SLC36A2,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0009448,,,,2020-04-06,2020-05-08,2020-03-13,,,2020-05-22,Limited,"2018-11-05 10:22:12",30711375-cf3e-4081-a7b3-a3d400543b46
7315,SLC38A8,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:37:04",
2199,SLC3A1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0009067,2019-03-25,,,2019-06-12,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2019-03-25 14:34:34",e3174df2-5032-4644-9e22-529d8883868e
1786,SLC6A19,"Aminoacidopathy GCEP","May Flowers",MONDO:0009324,2020-04-06,,,2020-04-24,2020-05-04,2020-05-07,,,2020-11-03,Definitive,"2018-11-05 10:22:12",0e6ac8f8-a073-4852-a9f6-b4d563383afe
7318,SLC6A6,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:40:20",
2065,SLC6A8,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0010305,2019-01-11,,,,2020-05-22,2020-02-28,,,2020-05-22,Definitive,"2019-01-11 13:52:54",fd256c81-7ba2-486a-8a2e-6148d0844b50
7316,SLC7A14,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,2023-10-18,,,"2022-10-14 11:38:56",
7317,SLC7A3,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:39:41",
7314,SLC7A5,"Aminoacidopathy GCEP",,,2022-10-14,,,,,,,,,,"2022-10-14 11:36:29",
1789,SLC7A7,"Aminoacidopathy GCEP","May Flowers",MONDO:0009109,,,,2019-10-16,2019-11-11,2020-01-23,,,2020-11-03,Definitive,"2018-11-05 10:22:12",98069743-83e8-4bab-89a8-0021d94b3fa1
2198,SLC7A9,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0009067,2019-03-25,,2019-06-12,,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2019-03-25 14:33:42",bedd99bb-f226-43f3-9c75-583e41e83b13
1727,SPR,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0012994,,,,,2021-06-04,2021-06-04,,,2021-06-04,Definitive,"2018-11-05 10:22:07",1eeae09c-9449-4197-95c4-71ec30ed8371
