"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded date","Precuration date","Disease entity assigned date","Precuration Complete date","Curation Provisional date","Curation Approved date","Recuration assigned date","Retired Assignment date","Published date",Classification,Created,"GCI UUID"
MYH6,"Hereditary Cardiovascular Disease","Mhy-Lanie Adduru",MONDO:0005045,,,,,,2018-08-27,2023-06-29,,,,"2018-07-31 17:56:50",e15224e2-8d8d-4507-943a-62c4d2628d11
MYH7,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,,,,,2023-12-08,2023-07-12,2021-01-28,,2023-12-08,Definitive,"2018-07-31 17:56:50",0db39ffb-638f-4e55-a054-749105993390
MYL2,"Hypertrophic Cardiomyopathy GCEP",,MONDO:0005045,2017-02-07,,,,2021-07-07,2021-07-13,2021-07-07,,2021-07-13,Definitive,"2018-07-31 17:56:50",0955fbb9-4b1d-4c04-8ec1-4a8e26e552bb
MYL3,"Hypertrophic Cardiomyopathy GCEP",,MONDO:0005045,,,,,2021-03-15,2021-06-07,2021-03-02,,2021-06-07,Definitive,"2018-07-31 17:56:50",941f409f-3351-4915-a852-25665776a39e
MYLK2,"Hypertrophic Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005045,,,,,2023-02-14,2023-02-08,,,2023-04-12,Disputed,"2018-07-31 17:56:50",87639cbf-9c37-4f3e-b5f5-ee66c48ca1ef
MYOM1,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,,,,,2023-04-12,2023-02-23,2022-10-19,,2023-04-12,Disputed,"2018-07-31 17:56:50",7e2ab461-2151-4bd7-9255-0a4a97119c63
MYOZ2,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,,,,,2022-10-27,2022-10-27,2022-08-16,,2022-12-14,Disputed,"2018-07-31 17:56:50",25ee84ff-efe0-47b1-884d-7d232d3de57d
MYPN,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,2020-04-06,,,,2023-06-15,2023-06-14,2022-04-13,,2023-10-11,Disputed,"2018-07-31 17:56:50",0c733d36-621e-4a0f-b705-d4f840719823
NEXN,"Hereditary Cardiovascular Disease","Kailyn Anderson",MONDO:0005045,,,,,2023-04-12,2023-03-23,2022-09-14,,2023-04-12,Limited,"2018-07-31 17:56:50",12f1ab44-a7ce-4416-a33e-1066a3754cb8
OBSCN,"Hereditary Cardiovascular Disease","Emily Brown",MONDO:0005045,,,,,2022-10-31,2022-06-22,2022-03-14,,2023-10-11,"No Known Disease Relationship","2018-07-31 17:56:50",66919dd8-add1-4d3e-900d-f9c730fccac7
PDLIM3,"Hereditary Cardiovascular Disease","Emily Brown",MONDO:0005045,,,,,2023-02-24,2023-02-23,2022-09-14,,2023-04-12,Limited,"2018-07-31 17:56:50",283b63e4-8b76-4f0a-a432-3d908b0461cc
PLN,"Hypertrophic Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0000591,,,,,2021-02-12,2021-02-12,2022-09-08,,2021-03-16,Definitive,"2018-07-31 17:56:50",92b7b6e3-e370-40e2-bc9b-60abb1f051c5
RYR2,"Hereditary Cardiovascular Disease","Mhy-Lanie Adduru",MONDO:0005045,2020-04-06,,,2017-02-07,2023-03-23,2022-12-14,2022-09-14,,2023-10-11,Limited,"2018-07-31 17:56:50",c7fd3299-5bd9-4ffb-b091-f967b97537fc
TCAP,"Hereditary Cardiovascular Disease","Stacey Peters",MONDO:0005045,2020-04-06,,,,2022-09-14,2022-09-14,2022-08-16,2020-04-16,2022-10-07,Disputed,"2018-07-31 17:56:50",66f8e675-3370-494a-a646-c11f78a641c9
TMPO,"Hereditary Cardiovascular Disease","Matthew Edwards",MONDO:0005045,,,,,2023-06-02,2017-04-04,2022-05-11,,2020-04-06,Limited,"2018-07-31 17:56:50",3582e2f0-b271-4e0a-b826-e194954ffaa2
TNNC1,"Hereditary Cardiovascular Disease","Lily Hoffman-Andrews",MONDO:0005045,2020-04-06,,,,2023-09-26,2023-09-13,2022-09-14,,2023-10-10,Definitive,"2018-07-31 17:56:50",4b8d340f-2003-43ba-b08c-dc7e05907428
TNNC2,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,,2023-02-14,,2023-02-21,2023-07-14,2023-04-12,,,2023-10-11,"No Known Disease Relationship","2018-07-31 17:56:50",b8f756d3-ae74-4acc-8b79-11d6ce7b08fa
TNNI3,"Hypertrophic Cardiomyopathy GCEP","Jen McGlaughon",MONDO:0005045,2020-04-06,,,,,2018-07-31,,,2020-12-16,Definitive,"2018-07-31 17:56:50",ef9f6bf9-9a77-451a-9b2f-e1e72660bb4d
TNNT2,"Hypertrophic Cardiomyopathy GCEP",,MONDO:0005045,,,,,2021-02-04,2021-02-04,2021-02-04,,2021-02-06,Definitive,"2018-07-31 17:56:51",030e29ca-5c34-4b02-82d6-704d03c5ab12
TPM1,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,2016-12-20,,,2023-12-18,2023-12-19,2016-12-20,2021-07-13,,,Definitive,"2018-07-31 17:56:51",3a20c53b-b060-415c-b70d-d676d22b338e
TRIM63,"Hereditary Cardiovascular Disease","Kailyn Anderson",MONDO:0005045,,,,,,2022-10-27,2022-09-14,,2023-02-02,Disputed,"2018-07-31 17:56:51",496bc58f-1b7f-487d-a6cd-4bbd3f8a1dd7
TTN,"Hereditary Cardiovascular Disease","Kyle Hilliard",MONDO:0005045,,,,,2023-10-10,2023-07-27,,,2023-10-10,Limited,"2018-07-31 17:56:51",78787cce-6998-47c1-a30f-20e9259c50f9
VCL,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,2020-04-06,,,,2023-05-11,2023-05-10,2022-04-13,,2023-10-11,Disputed,"2018-07-31 17:56:51",06116062-74a6-4e36-a3b7-84098e643c4a
CDH23,"Hearing Loss GCEP","Andrew Grant",MONDO:0010168,2016-08-11,,,,2016-08-11,2017-01-30,,,,Definitive,"2018-08-02 09:34:09",747b9da7-cb2d-447a-9d23-382ec790bd85
CDH23,"Hearing Loss GCEP",,MONDO:0019497,,,,,2017-11-30,2018-05-22,,,2020-04-06,Definitive,"2018-08-02 09:34:10",88009b38-cb38-4ba8-a734-0210af2dfb48
TMPRSS3,"Hearing Loss GCEP",,MONDO:0019497,,,,,2016-08-16,2017-08-22,,,2020-04-06,Definitive,"2018-08-02 09:34:10",d1308b48-37ce-49e4-94b0-9bb7e542b7d1
PCDH15,"Hearing Loss GCEP",,MONDO:0010168,2016-08-16,,,,2016-08-16,2017-02-15,,,,Definitive,"2018-08-02 09:34:10",6077870b-3fa1-4182-a3fb-9902fa4f6510
PCDH15,"Hearing Loss GCEP",,MONDO:0019497,,,,,2017-12-08,2018-06-19,,,2020-04-06,Limited,"2018-08-02 09:34:10",052a55be-65cf-470b-a5f3-120473fbaf80
SLC26A4,"Hearing Loss GCEP",,MONDO:0010134,,,,,2016-08-18,2017-06-07,,,2020-04-06,Definitive,"2018-08-02 09:34:10",28d2508d-a6fb-4386-bfe6-ee4ac6d6f287
TMC1,"Hearing Loss GCEP",,MONDO:0019497,2020-04-06,,,,2017-11-03,2018-06-22,,,2020-04-06,Definitive,"2018-08-02 09:34:10",4cde5df2-c142-4ec6-adef-537310070ba2
TMC1,"Hearing Loss GCEP",,MONDO:0010967,,,,,2016-08-29,2017-02-15,,,,,"2018-08-02 09:34:10",
ABCC9,"UNC Biocuration Core","Jenny Goldstein",MONDO:0009406,2018-08-27,,,,,2018-08-27,,,,,"2018-08-27 16:57:54",
ALPK3,"Hereditary Cardiovascular Disease","Courtney Thaxton",MONDO:0005045,,,,,2022-07-08,2022-02-09,2022-01-05,,2022-07-08,Definitive,"2018-09-13 10:17:50",890db168-ec58-4ff4-adbc-3d99982ee3da
CACNA1C,"Hereditary Cardiovascular Disease",,MONDO:0010979,2020-04-06,,,2020-04-06,2023-04-12,2017-12-14,,,,Definitive,"2018-09-13 11:02:05",790c4866-610a-432b-85f8-6f051c2c537f
CAV3,"Muscular Dystrophy and Myopathies GCEP",,MONDO:0016146,,2017-10-09,,,2017-11-06,,,,,,"2018-09-13 11:08:41",c831a04b-3b5a-4232-b0f6-4db8d060eea8
COX15,"UNC Biocuration Core","Courtney Thaxton",MONDO:0009723,,,,,,2017-08-07,,,2020-04-06,Limited,"2018-09-13 11:09:29",5065ee7e-6f70-44e2-adba-a168c8cad7b7
CRYAB,"Hereditary Cardiovascular Disease","Amber Waddell",,,2023-01-20,,2023-01-31,,2017-09-30,,,,,"2018-09-13 11:10:00",
DES,"Hypertrophic Cardiomyopathy GCEP","Jen McGlaughon",,,,,,,2017-09-25,,,,,"2018-09-13 11:10:57",
FHL1,"Hereditary Cardiovascular Disease","Mhy-Lanie Adduru",MONDO:0016830,,,,,,2017-12-12,2023-08-30,,,,"2018-09-13 11:12:13",588a582d-bd0b-484c-b9f8-3ce8d6afd54f
FLNC,"Hereditary Cardiovascular Disease",,MONDO:0018943,,,,,,2017-10-21,,,,,"2018-09-13 11:13:03",
FXN,"Hereditary Cardiovascular Disease","May Flowers",MONDO:0100339,,,,,2021-05-28,2017-12-22,,,2021-05-28,Definitive,"2018-09-13 11:13:41",829dfbd6-fda6-4859-99ec-1bd5155fa47d
GAA,"General GCEP",,MONDO:0009290,,,,,2017-09-21,2019-01-23,,,2020-04-06,Definitive,"2018-09-13 11:16:08",0b742b38-7cfb-4aac-9f12-94047bc776f9
GLA,"UNC Biocuration Core","Jenny Goldstein",MONDO:0010526,,,,,2020-04-06,2018-01-19,,,2020-04-06,Definitive,"2018-09-13 11:16:51",6b93db07-f857-4b81-b3e7-150e0aeda8c5
LAMP2,"Hereditary Cardiovascular Disease","May Flowers",MONDO:0010281,,,,,2020-12-18,2017-10-11,2020-12-18,,2021-02-06,Definitive,"2018-09-13 11:21:40",a9f7588c-e1bf-4ec5-a86c-974c356c3527
ABCC9,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-11-13,2020-11-13,,,2020-11-13,Limited,"2018-09-20 10:23:55",93ffd263-d1ef-4271-8359-f069bf0c9cce
ACTC1,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2019-02-22,2019-03-15,,,2020-05-08,"No Known Disease Relationship","2018-09-20 10:23:55",b3f44f54-e74a-4892-b4bd-8866b8fb89ed
ACTN1,"Dilated Cardiomyopathy GCEP",,,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
ALMS1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
ALPK3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
ANKRD1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-08-12,2020-08-12,,,2020-09-04,Limited,"2018-09-20 10:23:55",249263bd-1754-4dd5-9d53-5e7ea77512cf
BAG3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2020-10-14,2020-10-09,,,2020-10-15,Definitive,"2018-09-20 10:23:55",72f5f747-0a28-48a2-8e0b-9aa30acd554c
BRAF,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CACNA1C,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CALR3,"Dilated Cardiomyopathy GCEP",,,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CASQ2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CAV3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CHRM3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CRYAB,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:55",
CSRP3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-10-13,2020-11-06,,,2020-11-06,Limited,"2018-09-20 10:23:56",b062446a-6e22-4d1a-8428-6d2188ff7dba
CTF1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2020-04-06,,,2020-02-03,2020-05-26,2020-08-12,,,2020-09-04,Limited,"2018-09-20 10:23:56",bfa5ddeb-f0f8-4070-a203-5afd1ad86b40
CTNNA3,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2018-09-28,2019-08-06,,,2020-05-08,Limited,"2018-09-20 10:23:56",f8a3ab80-4c02-4f66-bfe8-c1d07ecd801d
DES,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2018-11-09,2018-09-11,,,2020-05-08,Moderate,"2018-09-20 10:23:56",da443dd4-1d44-4b7c-b3cb-6481af9cbcae
DMD,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
DOLK,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
DSC2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
DSG2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,2020-07-13,2020-08-12,2020-08-07,,,2020-09-16,Limited,"2018-09-20 10:23:56",2eee043f-e393-48d3-910b-c44c990bd512
DSP,"ARVC GCEP",,MONDO:0011581,,2018-10-12,,,2018-11-09,2019-07-12,,,2020-05-08,Definitive,"2018-09-20 10:23:56",0683943f-da80-4a3c-8f9f-454d59040eb2
DTNA,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-11-07,2020-08-12,,,2020-09-04,Limited,"2018-09-20 10:23:56",8905261f-131e-4718-9e36-144f54d9570f
EMD,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
EYA4,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0011541,,,,,2020-11-30,2020-11-30,,,2020-11-30,Limited,"2018-09-20 10:23:56",bb7d36be-296d-4fdf-8847-8508c8a1f999
FKRP,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
FKTN,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
FLNC,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-11-13,2020-11-06,,,2020-11-13,Definitive,"2018-09-20 10:23:56",3532b6da-4afd-4b01-bb3f-a31eba64444a
GAA,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
GATA4,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
GATA6,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
GATAD1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-09-27,2020-09-04,,,2020-09-04,Limited,"2018-09-20 10:23:56",638c00c5-45e1-497a-83fb-73b274cb7ae4
GLA,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
HCN4,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
HFE,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
HRAS,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:56",
ILK,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,2020-04-06,2020-08-12,2020-09-04,,,2020-09-04,Limited,"2018-09-20 10:23:57",593fb0ea-cc45-4865-97d3-ba5a194929f1
JPH2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-10-14,2020-10-09,,,2020-10-15,Moderate,"2018-09-20 10:23:57",f301ac2c-1d40-4fe9-9b5e-ace499b11bef
JUP,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2018-09-28,2018-07-27,,,2020-05-13,Definitive,"2018-09-20 10:23:57",16f3f94b-1646-43b5-8d43-89b4c1dbc9b2
KRAS,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
LAMA4,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-10-11,2020-08-12,,,2020-09-04,Limited,"2018-09-20 10:23:57",8deefe2b-8506-4c36-93db-724c7256c34e
LAMP2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
LDB3,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2018-07-13,2019-09-12,,,2020-05-08,Disputed,"2018-09-20 10:23:57",34c00335-23f0-4822-b934-5f3ea4e63fb3
LMNA,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2018-09-14,2019-09-06,,,2020-05-13,Limited,"2018-09-20 10:23:57",8200c2b7-d0fe-4ed5-bb2a-ab5f28566a27
LRRC10,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2020-04-06,,,,2021-06-01,2020-09-04,,,2021-06-01,"No Known Disease Relationship","2018-09-20 10:23:57",b1e985ff-c254-4b86-ac21-34b0816ba561
MAP2K1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
MAP2K2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
MIB1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-11-08,2020-09-04,,,2020-09-04,"No Known Disease Relationship","2018-09-20 10:23:57",c7e47bb4-162e-42ce-8816-ec96a34eb4d2
MYBPC3,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2019-02-22,2019-08-06,,,2020-05-08,Limited,"2018-09-20 10:23:57",6af5ca55-a7f0-4637-9dab-35e16fc2eac7
MYH6,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-08-12,2020-09-04,,,2020-09-04,Limited,"2018-09-20 10:23:57",85635ddf-b3ec-4149-82f0-6733639367f9
MYH7,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2019-03-22,2019-08-06,,,2020-05-08,Limited,"2018-09-20 10:23:57",12479e0d-11e2-4cb4-8d10-ac5baaf67597
MYL2,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2019-05-24,2019-05-24,,,2020-05-08,"No Known Disease Relationship","2018-09-20 10:23:57",b4f1a04d-5b73-435a-80fe-9123c08ff20e
MYL3,"ARVC GCEP","Courtney Thaxton",MONDO:0016587,,,,,2019-03-22,2019-09-13,,,2020-05-08,Limited,"2018-09-20 10:23:57",b34ded29-f1d5-4cca-a84a-0140b2460ef7
MYLK2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
MYOM1,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
MYOZ2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
MYPN,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-10-14,2020-10-09,,,2020-10-15,Limited,"2018-09-20 10:23:57",579c8f4d-827e-4dce-95b7-cc585c807254
NEBL,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-08-07,2020-09-25,,,2020-09-25,Limited,"2018-09-20 10:23:57",71a853b9-044f-436d-80ba-a4addaebab21
NEXN,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,2020-07-13,2020-08-07,2020-08-12,,,2020-08-12,Moderate,"2018-09-20 10:23:57",ccbfc009-986f-495d-8661-189d947c7a2a
NKX2-5,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-11-13,2020-11-06,,,2020-11-13,Limited,"2018-09-20 10:23:57",5d456a32-3562-4524-a04e-4b830d8f65a5
NPPA,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-10-10,2020-09-04,,,2020-09-04,"No Known Disease Relationship","2018-09-20 10:23:57",64d19b83-d04c-411e-853e-d535f4940b5e
NRAS,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",,2018-09-20,,,,,,,2020-12-16,,,"2018-09-20 10:23:57",
OBSCN,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-11-06,2020-11-06,,,2020-11-06,Limited,"2018-09-20 10:23:57",9033284c-0cab-4e93-aa73-99cbe874b0ff
PDLIM3,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,2020-07-13,2020-08-12,2020-09-16,,,2020-09-16,Disputed,"2018-09-20 10:23:57",7c5cf8c5-680c-4873-b9d7-c9ddfdc29ab1
PKP2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-10-14,2020-10-09,,,2020-10-15,Disputed,"2018-09-20 10:23:57",11f67328-d9f8-46aa-8b36-96e952525bf5
PLEKHM2,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,2018-09-20,,,,2020-10-14,2020-10-09,,,2020-10-15,Limited,"2018-09-20 10:23:57",bb6c4791-d3f5-40f8-b334-6b26caabfe01
PLN,"ARVC GCEP",,MONDO:0016587,,,,,2019-01-25,2020-12-17,,,2020-12-18,Moderate,"2018-09-20 10:23:57",36a5a7df-f731-40bd-852f-19d24979a93e
PRDM16,"Dilated Cardiomyopathy GCEP","Courtney Thaxton",MONDO:0005021,,,,,2019-09-05,2020-08-12,,,2020-09-04,Limited,"2018-09-20 10:23:57",0d879f3a-d78f-4116-a928-ee06371590cd
